node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,out_in_degree_ratio,out_degree_share,lof_score_raw,lof_score,majority_label,is_malicious
23.48.157.249,2.0,1.0,1.0,6.0,2.0,2.0,6.0,2.23606797749979,1.0,0.49999999975,2905734518.567632,0.12681665126416597,BENIGN,False
173.241.242.219,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
46.4.53.194,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
193.200.227.12,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
185.4.227.114,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
67.217.177.62,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
104.192.110.216,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
191.232.80.53,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
169.55.70.244,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
34.226.228.77,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
88.212.201.193,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
174.129.1.102,1.0,0.0,1.0,7.0,2.0,1.0,7.0,0.0,0.5,0.0,2828427125.7461905,0.12344268003144254,,
204.13.193.176,2.0,1.0,1.0,17.0,2.0,2.0,17.0,5.477225575051661,1.0,0.49999999975,2252845223.751953,0.09832222636551359,BENIGN,False
185.49.145.152,2.0,1.0,1.0,17.0,2.0,2.0,17.0,5.477225575051661,1.0,0.49999999975,2252845223.751953,0.09832222636551359,BENIGN,False
54.165.89.238,2.0,1.0,1.0,17.0,2.0,2.0,17.0,5.477225575051661,1.0,0.49999999975,2252845223.751953,0.09832222636551359,BENIGN,False
63.251.248.136,2.0,1.0,1.0,25.0,2.0,2.0,25.0,10.000000000000002,1.0,0.49999999975,1593082523.8236275,0.06952782147433337,BENIGN,False
108.174.10.10,2.0,1.0,1.0,25.0,2.0,2.0,25.0,10.000000000000002,1.0,0.49999999975,1593082523.8236275,0.06952782147433337,BENIGN,False
23.203.51.137,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
64.74.232.52,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
54.243.161.28,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
192.73.243.114,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
192.40.37.146,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
104.196.173.4,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
138.197.225.24,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
169.54.129.17,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
129.146.13.98,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
81.19.88.116,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
34.204.184.166,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
184.173.146.237,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
109.200.201.58,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
14.0.35.147,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
74.217.250.5,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
163.172.224.33,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
178.172.160.5,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
66.235.147.238,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
104.196.142.36,1.0,0.0,1.0,17.0,2.0,1.0,17.0,0.0,0.5,0.0,1414213563.3730953,0.06172134003754306,,
192.168.10.50,31.0,19.0,12.0,694775.0,20.0,73.0,755903.0,244651.27930461764,1.5384615384615385,0.6129032257866805,36.88514453526169,1.609799684543261e-09,BENIGN,False
172.16.0.1,7.0,6.0,1.0,677565.0,7.0,17.0,682966.0,244649.3824990573,3.5,0.8571428570204082,35.319177658524474,1.5414552869290176e-09,DDoS,True
192.168.10.15,1323.0,744.0,579.0,81982.0,746.0,1337.0,765528.0,244648.97464421898,1.2844827586206897,0.5623582766435659,31.43776904610666,1.3720567271950192e-09,BENIGN,False
192.168.10.5,1084.0,599.0,485.0,55938.0,601.0,1090.0,739389.0,244648.93788276712,1.2345679012345678,0.5525830258297485,30.760068853321012,1.3424794659342344e-09,BENIGN,False
192.168.10.9,1006.0,545.0,461.0,44716.0,556.0,1010.0,726607.0,244648.84269181636,1.1818181818181819,0.5417495029815689,30.43844369304373,1.3284425931476691e-09,BENIGN,False
192.168.10.14,765.0,413.0,352.0,36270.0,416.0,779.0,719816.0,244648.9356658381,1.1728045325779037,0.539869281045046,30.267953397378808,1.3210017866214346e-09,BENIGN,False
192.168.10.8,394.0,216.0,178.0,23748.0,218.0,400.0,707199.0,244649.02962411678,1.2122905027932962,0.5482233502524156,29.958444699384017,1.3074937196022287e-09,BENIGN,False
192.168.10.3,47.0,28.0,19.0,72614.0,31.0,93.0,87849.0,1602.3684119828008,1.45,0.5957446808383885,20.97625104853899,9.154786499089625e-10,BENIGN,False
192.168.10.255,11.0,0.0,11.0,4004.0,12.0,48.0,71821.0,1553.1084515125808,0.08333333333333333,0.0,16.70798352765747,7.29196183207695e-10,,
192.168.10.16,906.0,495.0,411.0,48416.0,514.0,911.0,54916.0,3509.2670389687387,1.203883495145631,0.5463576158934367,13.954811311925578,6.090378967153787e-10,BENIGN,False
192.168.10.25,187.0,118.0,69.0,20835.0,119.0,192.0,27335.0,761.1441122498654,1.7,0.6310160427773743,11.75313348585128,5.129487986642098e-10,BENIGN,False
192.168.10.12,430.0,250.0,180.0,38747.0,251.0,435.0,45247.0,1001.1973029078937,1.3867403314917126,0.5813953488358572,11.729750646919367,5.1192828790817e-10,BENIGN,False
192.168.10.19,340.0,215.0,125.0,17943.0,216.0,347.0,24452.0,574.5805941200912,1.7142857142857142,0.6323529411746107,11.581909329687168,5.054759638399985e-10,BENIGN,False
67.215.197.149,2.0,0.0,2.0,8.0,3.0,4.0,847.0,232.01293067413292,0.3333333333333333,0.0,11.548290506553723,5.040087181085036e-10,,
192.168.10.17,487.0,278.0,209.0,30197.0,282.0,493.0,36701.0,884.8612323008639,1.3285714285714285,0.570841889115871,11.480161283334663,5.010353150372109e-10,BENIGN,False
192.168.10.1,1.0,0.0,1.0,9337.0,2.0,1.0,9337.0,0.0,0.5,0.0,10.941857781558744,4.775418241409238e-10,,
64.4.54.254,6.0,3.0,3.0,171.0,4.0,10.0,18077.0,314.4475860153533,1.0,0.49999999991666666,9.930608842261098,4.3340730212705987e-10,BENIGN,False
13.78.188.147,6.0,3.0,3.0,67.0,4.0,10.0,17973.0,304.0574392981365,1.0,0.49999999991666666,9.893733113556674,4.3179791338306473e-10,BENIGN,False
64.4.54.253,6.0,3.0,3.0,49.0,4.0,10.0,17955.0,301.46409567720104,1.0,0.49999999991666666,9.887403075924638,4.315216478915887e-10,BENIGN,False
65.55.44.109,6.0,3.0,3.0,34.0,4.0,10.0,17940.0,300.76081898848184,1.0,0.49999999991666666,9.882144056170066,4.312921254524446e-10,BENIGN,False
199.244.48.55,2.0,1.0,1.0,14843.0,2.0,2.0,14843.0,3443.052715251394,1.0,0.49999999975,9.496796427581653,4.144741761463739e-10,BENIGN,False
224.0.0.251,7.0,0.0,7.0,338.0,8.0,17.0,7060.0,865.5090987390024,0.125,0.0,7.72756098569987,3.3725841104339883e-10,,
8.6.0.1,1.0,1.0,0.0,6290.0,2.0,1.0,6290.0,0.0,2.0,0.9999999989999999,7.131694518335459,3.112526663654532e-10,BENIGN,False
8.0.6.4,1.0,0.0,1.0,6290.0,2.0,1.0,6290.0,0.0,0.5,0.0,7.131694190676872,3.112526520652601e-10,,
198.100.147.178,3.0,0.0,3.0,15.0,4.0,7.0,2183.0,434.77350425250154,0.25,0.0,5.951184833457728,2.5973099979045323e-10,,
61.251.165.12,4.0,2.0,2.0,4893.0,3.0,4.0,4893.0,409.1136761341523,1.0,0.499999999875,5.726396369695651,2.4992042692670267e-10,BENIGN,False
72.21.91.29,18.0,9.0,9.0,4115.0,10.0,18.0,4115.0,342.27620425615333,1.0,0.4999999999722222,4.527078401168693,1.9757789955620326e-10,BENIGN,False
104.97.116.21,4.0,2.0,2.0,12.0,3.0,4.0,12.0,3.1622776601683786,1.0,0.499999999875,2.839951934932574,1.239456639407214e-10,BENIGN,False
14.0.67.51,3.0,1.0,2.0,3085.0,3.0,3.0,3085.0,5.656854249492381,0.6666666666666666,0.3333333332222222,2.5632826961685056,1.118708284236898e-10,BENIGN,False
144.217.164.10,3.0,0.0,3.0,15.0,4.0,3.0,15.0,0.0,0.25,0.0,2.2764403809144858,9.935200344882371e-11,,
207.210.46.249,3.0,0.0,3.0,15.0,4.0,3.0,15.0,0.0,0.25,0.0,2.2764403809144858,9.935200344882371e-11,,
8.18.45.71,4.0,2.0,2.0,32.0,3.0,4.0,32.0,9.38083151964686,1.0,0.499999999875,2.163742344720582,9.443345790970686e-11,BENIGN,False
203.154.100.126,2.0,1.0,1.0,46.0,2.0,2.0,46.0,22.999999999999996,1.0,0.49999999975,2.11011690329516,9.209305177119735e-11,BENIGN,False
59.56.30.206,2.0,1.0,1.0,25.0,2.0,2.0,25.0,12.247448713915892,1.0,0.49999999975,2.047247287786702,8.934919679955372e-11,BENIGN,False
66.235.144.5,2.0,1.0,1.0,27.0,2.0,2.0,27.0,12.328828005937952,1.0,0.49999999975,2.0379900163890126,8.894517635274523e-11,BENIGN,False
210.14.132.70,2.0,1.0,1.0,24.0,2.0,2.0,24.0,11.999999999999998,1.0,0.49999999975,2.033014822938019,8.872804110903501e-11,BENIGN,False
23.15.4.16,4.0,2.0,2.0,37.0,3.0,4.0,37.0,15.264337522473747,1.0,0.499999999875,2.0302580322699795,8.860772490033697e-11,BENIGN,False
63.251.88.51,4.0,2.0,2.0,23.0,3.0,4.0,23.0,6.164414002968976,1.0,0.499999999875,2.0200038203325206,8.816019440126625e-11,BENIGN,False
172.217.7.132,8.0,4.0,4.0,38.0,5.0,8.0,38.0,8.06225774829855,1.0,0.4999999999375,2.0157366863043373,8.797396140424203e-11,BENIGN,False
14.0.67.54,2.0,1.0,1.0,2774.0,2.0,2.0,2774.0,74.45804187594514,1.0,0.49999999975,1.965910575479613,8.579937164735551e-11,BENIGN,False
144.76.203.221,5.0,2.0,3.0,26.0,4.0,5.0,26.0,4.242640687119286,0.75,0.39999999992,1.8802448595827497,8.206061328909266e-11,BENIGN,False
69.43.132.198,4.0,2.0,2.0,27.0,3.0,4.0,27.0,6.557438524302001,1.0,0.499999999875,1.8661190285226865,8.144411147865073e-11,BENIGN,False
72.21.81.64,2.0,1.0,1.0,111.0,2.0,2.0,111.0,55.226805085936306,1.0,0.49999999975,1.8408451764454128,8.034107014280092e-11,BENIGN,False
151.101.128.249,4.0,2.0,2.0,21.0,3.0,4.0,21.0,5.830951894845301,1.0,0.499999999875,1.8253540227544467,7.966498076754882e-11,BENIGN,False
109.201.130.57,2.0,1.0,1.0,22.0,2.0,2.0,22.0,11.0,1.0,0.49999999975,1.819780495548181,7.942173209788827e-11,BENIGN,False
23.53.113.190,4.0,2.0,2.0,20.0,3.0,4.0,20.0,5.385164807134503,1.0,0.499999999875,1.8191646728476782,7.939485539179168e-11,BENIGN,False
109.201.130.58,2.0,1.0,1.0,18.0,2.0,2.0,18.0,9.0,1.0,0.49999999975,1.8179146782123827,7.934030115335958e-11,BENIGN,False
23.53.114.207,4.0,2.0,2.0,19.0,3.0,4.0,19.0,4.12310562561766,1.0,0.499999999875,1.8148266639310662,7.920552916104228e-11,BENIGN,False
121.29.54.141,2.0,1.0,1.0,21.0,2.0,2.0,21.0,10.392304845413264,1.0,0.49999999975,1.812862950196503,7.911982566739293e-11,BENIGN,False
23.2.12.111,3.0,2.0,1.0,28.0,3.0,3.0,28.0,8.124038404635959,1.5,0.6666666664444444,1.8067717012473672,7.885398176843738e-11,BENIGN,False
194.232.100.10,4.0,2.0,2.0,30.0,3.0,4.0,30.0,9.486832980505138,1.0,0.499999999875,1.8058625845990872,7.881430466503834e-11,BENIGN,False
52.196.45.147,4.0,2.0,2.0,21.0,3.0,4.0,21.0,4.358898943540672,1.0,0.499999999875,1.7818630168852327,7.77668776582659e-11,BENIGN,False
104.16.208.165,4.0,2.0,2.0,20.0,3.0,4.0,20.0,4.795831523312719,1.0,0.499999999875,1.7504662390597154,7.63966099346062e-11,BENIGN,False
66.235.144.249,2.0,1.0,1.0,26.0,2.0,2.0,26.0,11.532562594670795,1.0,0.49999999975,1.7400131450049763,7.594039950832649e-11,BENIGN,False
5.39.44.193,3.0,1.0,2.0,22.0,3.0,3.0,22.0,5.477225575051661,0.6666666666666666,0.3333333332222222,1.7381168716618287,7.585763935466386e-11,BENIGN,False
173.239.42.221,4.0,2.0,2.0,36.0,3.0,4.0,36.0,9.59166304662544,1.0,0.499999999875,1.7329187467437848,7.56307745840708e-11,BENIGN,False
194.232.100.24,3.0,1.0,2.0,15.0,3.0,3.0,15.0,2.8284271247461903,0.6666666666666666,0.3333333332222222,1.695893636596163,7.401486629939969e-11,BENIGN,False
69.4.95.11,2.0,0.0,2.0,2582.0,3.0,2.0,2582.0,0.0,0.3333333333333333,0.0,1.6864895463650416,7.360443815337459e-11,,
35.187.104.107,2.0,1.0,1.0,28.0,2.0,2.0,28.0,11.489125293076057,1.0,0.49999999975,1.6857173485247015,7.357073667665687e-11,BENIGN,False
119.205.194.11,4.0,2.0,2.0,2586.0,3.0,4.0,2586.0,197.9292802998081,1.0,0.499999999875,1.680456601337945,7.334113884619137e-11,BENIGN,False
95.154.251.132,3.0,1.0,2.0,13.0,3.0,3.0,13.0,4.0,0.6666666666666666,0.3333333332222222,1.6604778597305778,7.246919507743741e-11,BENIGN,False
199.59.149.243,2.0,1.0,1.0,94.0,2.0,2.0,94.0,41.53311931459037,1.0,0.49999999975,1.646756657209361,7.187035270421333e-11,BENIGN,False
106.11.94.27,2.0,1.0,1.0,50.0,2.0,2.0,50.0,22.44994432064365,1.0,0.49999999975,1.6283472140614006,7.106689873526189e-11,BENIGN,False
107.178.254.65,3.0,2.0,1.0,32.0,3.0,3.0,32.0,9.16515138991168,1.5,0.6666666664444444,1.628133656135267,7.105757830324371e-11,BENIGN,False
66.235.128.102,2.0,1.0,1.0,32.0,2.0,2.0,32.0,13.228756555322953,1.0,0.49999999975,1.6188831770400611,7.065385429681883e-11,BENIGN,False
63.140.32.140,2.0,1.0,1.0,30.0,2.0,2.0,30.0,13.2664991614216,1.0,0.49999999975,1.594804804059892,6.960298794625496e-11,BENIGN,False
85.14.248.91,2.0,1.0,1.0,68.0,2.0,2.0,68.0,30.51229260478471,1.0,0.49999999975,1.588476274395895,6.932678826789974e-11,BENIGN,False
199.59.148.84,2.0,1.0,1.0,100.0,2.0,2.0,100.0,43.30127018922193,1.0,0.49999999975,1.5850678812369736,6.917803379503098e-11,BENIGN,False
156.154.202.36,3.0,1.0,2.0,33.0,3.0,3.0,33.0,9.486832980505138,0.6666666666666666,0.3333333332222222,1.5746149270552507,6.872182947331019e-11,BENIGN,False
52.87.0.182,2.0,1.0,1.0,14.0,3.0,2.0,14.0,0.0,1.0,0.49999999975,1.5698631971700923,6.851444697917761e-11,BENIGN,False
104.16.207.165,3.0,1.0,2.0,19.0,3.0,3.0,19.0,3.1622776601683795,0.6666666666666666,0.3333333332222222,1.558212042724778,6.800594891072891e-11,BENIGN,False
67.217.177.158,3.0,1.0,2.0,19.0,3.0,3.0,19.0,3.1622776601683795,0.6666666666666666,0.3333333332222222,1.558212042724778,6.800594891072891e-11,BENIGN,False
8.247.90.237,1.0,0.0,1.0,71.0,2.0,1.0,71.0,0.0,0.5,0.0,1.5553471597093265,6.78809151652296e-11,,
162.208.22.39,2.0,0.0,2.0,15.0,3.0,2.0,15.0,0.0,0.3333333333333333,0.0,1.553183781412716,6.7786497595682e-11,,
63.140.58.233,2.0,1.0,1.0,33.0,2.0,2.0,33.0,14.142135623730951,1.0,0.49999999975,1.5518701819916,6.772916741681535e-11,BENIGN,False
87.106.20.27,1.0,0.0,1.0,48.0,2.0,1.0,48.0,0.0,0.5,0.0,1.5455993658890141,6.745548656478234e-11,,
23.111.11.111,2.0,1.0,1.0,1263.0,2.0,2.0,1263.0,525.3018180056109,1.0,0.49999999975,1.5430566163652473,6.734451187747105e-11,BENIGN,False
31.13.66.36,4.0,2.0,2.0,30.0,3.0,4.0,30.0,8.485281374238573,1.0,0.499999999875,1.5197546408317864,6.63275302894732e-11,BENIGN,False
68.67.178.170,2.0,1.0,1.0,26.0,2.0,2.0,26.0,10.954451150103322,1.0,0.49999999975,1.5162051939853787,6.617261972898489e-11,BENIGN,False
104.196.63.196,2.0,1.0,1.0,26.0,2.0,2.0,26.0,10.954451150103322,1.0,0.49999999975,1.5162051939853787,6.617261972898489e-11,BENIGN,False
