node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,score_edpl,score_ewpl,score_elwpl,score_graph_deviance,score_lof,score_edpl_norm,score_ewpl_norm,score_elwpl_norm,score_graph_deviance_norm,score_lof_norm,oddball_score,majority_label,is_malicious,rank_asc
87.242.88.91,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,15
159.127.42.172,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,16
185.15.175.135,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,17
185.76.234.247,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,18
146.20.128.61,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,19
198.101.167.73,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,20
54.92.92.15,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,21
104.198.81.48,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,22
52.73.178.249,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,23
213.180.193.131,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,24
178.172.160.3,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,25
178.172.160.2,1.0,0.0,1.0,16.0,2.0,1.0,16.0,0.0,0.170586372829962,0.015996273308571254,6.940949006834737e-09,0.2823050657205038,1.0,0.039874531227603066,0.0003985732908293543,1.3485858386170517e-10,0.0030140273294800455,6.519300321384376e-11,0.00865742640959281,,,26
4.16.74.146,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,27
210.152.39.149,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,28
208.101.15.34,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,29
204.13.192.177,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,30
87.250.247.182,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,31
184.72.252.62,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,32
173.194.68.156,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,33
52.160.91.170,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,34
202.241.208.52,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,35
52.94.233.97,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,36
157.240.0.17,1.0,0.0,1.0,15.0,2.0,1.0,15.0,0.0,0.170586372829962,0.062058135205557904,6.871499311868633e-09,0.2823313135665996,1.0,0.039874531227603066,0.0015462798549683858,1.3350921686541497e-10,0.003014307564357414,6.519300321384376e-11,0.008887023769126218,,,37
173.241.242.143,13.0,5.0,8.0,751.0,9.0,13.0,751.0,119.2350619574628,0.038607125379787596,1.2236540573063726,0.029907934060167306,0.4195053274786494,1.0147335564774138,0.009024407993590552,0.030489340551337063,0.0005810936846837225,0.004478844609664021,6.615352800862715e-11,0.008914737381085778,BENIGN,False,38
199.166.0.200,9.0,3.0,6.0,269.0,7.0,9.0,269.0,21.35415650406262,0.06189217672150801,0.2640416300941493,1.0926004324428569,0.2845050988594062,1.0219665692105486,0.01446728418269428,0.0065790287145307555,0.02122858803613721,0.003037515962209643,6.662506983098418e-11,0.009062483392439391,BENIGN,False,39
54.225.147.154,3.0,1.0,2.0,70.0,3.0,3.0,70.0,5.0,0.00953256430871063,0.031557084905108786,2.096005128426539,0.20283368472063534,1.2116671882910175,0.002228235039534495,0.0007862963414654215,0.04072415502665927,0.002165551891627753,7.899222290036533e-11,0.009180847675655832,BENIGN,False,40
52.87.59.64,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,41
104.90.89.86,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,42
138.201.227.192,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,43
104.28.6.120,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,44
65.52.108.193,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,45
65.52.108.235,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,46
89.185.38.86,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,47
14.128.26.213,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,48
146.20.129.103,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,49
192.229.173.28,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,50
52.54.195.143,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,51
216.104.218.120,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,52
34.224.130.238,1.0,0.0,1.0,14.0,2.0,1.0,14.0,0.0,0.170586372829962,0.14175549929685505,6.797256304821872e-09,0.2823575614126953,1.0,0.039874531227603066,0.0035320699239135573,1.3206671861595342e-10,0.0030145877992347817,6.519300321384376e-11,0.009284237829602224,,,53
194.232.104.109,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,54
69.31.33.219,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,55
5.79.102.233,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,56
209.15.36.21,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,57
194.232.104.156,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,58
212.142.249.35,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,59
129.146.12.99,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,60
87.242.88.110,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,61
5.79.102.222,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,62
61.213.187.245,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,63
52.44.4.52,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,64
182.22.67.116,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,65
5.79.102.232,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,66
64.210.149.57,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,67
185.44.142.4,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,68
192.243.250.132,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,69
13.113.184.218,1.0,0.0,1.0,18.0,2.0,1.0,18.0,0.0,0.170586372829962,0.16723973228842184,7.067694952578997e-09,0.2822525700283122,1.0,0.039874531227603066,0.004167051235608713,1.37321183534524e-10,0.0030134668597253085,6.519300321384376e-11,0.009411009905090254,,,70
216.200.232.14,3.0,1.0,2.0,74.0,3.0,3.0,74.0,5.291502622129181,0.00953256430871063,0.13615971158150675,2.0867805372851516,0.2027058437426857,1.283272692138936,0.002228235039534495,0.0033926417282666515,0.04054492661037127,0.0021641869986514816,8.366040074285159e-11,0.009665998092096858,BENIGN,False,71
52.94.232.32,4.0,1.0,3.0,109.0,4.0,4.0,109.0,5.0,0.08163975417739343,0.15203933748246873,1.2421380294293372,0.14457243983478912,1.198143220037759,0.019083276544048417,0.003788308558308503,0.02413401617626924,0.001543526268788509,7.811055479456674e-11,0.009709825525105045,BENIGN,False,72
173.194.175.109,1.0,0.0,1.0,19.0,2.0,1.0,19.0,0.0,0.170586372829962,0.24049619138461403,7.125876515445637e-09,0.28222632218221644,1.0,0.039874531227603066,0.00599235563077869,1.3845161730767657e-10,0.00301318662484794,6.519300321384376e-11,0.009776014737374864,,,73
205.174.165.68,1.0,0.0,1.0,19.0,2.0,1.0,19.0,0.0,0.170586372829962,0.24049619138461403,7.125876515445637e-09,0.28222632218221644,1.0,0.039874531227603066,0.00599235563077869,1.3845161730767657e-10,0.00301318662484794,6.519300321384376e-11,0.009776014737374864,,,74
89.185.38.84,1.0,0.0,1.0,19.0,2.0,1.0,19.0,0.0,0.170586372829962,0.24049619138461403,7.125876515445637e-09,0.28222632218221644,1.0,0.039874531227603066,0.00599235563077869,1.3845161730767657e-10,0.00301318662484794,6.519300321384376e-11,0.009776014737374864,,,75
52.39.237.157,1.0,0.0,1.0,19.0,2.0,1.0,19.0,0.0,0.170586372829962,0.24049619138461403,7.125876515445637e-09,0.28222632218221644,1.0,0.039874531227603066,0.00599235563077869,1.3845161730767657e-10,0.00301318662484794,6.519300321384376e-11,0.009776014737374864,,,76
209.85.201.108,1.0,0.0,1.0,19.0,2.0,1.0,19.0,0.0,0.170586372829962,0.24049619138461403,7.125876515445637e-09,0.28222632218221644,1.0,0.039874531227603066,0.00599235563077869,1.3845161730767657e-10,0.00301318662484794,6.519300321384376e-11,0.009776014737374864,,,77
130.211.102.28,1.0,0.0,1.0,19.0,2.0,1.0,19.0,0.0,0.170586372829962,0.24049619138461403,7.125876515445637e-09,0.28222632218221644,1.0,0.039874531227603066,0.00599235563077869,1.3845161730767657e-10,0.00301318662484794,6.519300321384376e-11,0.009776014737374864,,,78
89.108.121.109,1.0,0.0,1.0,19.0,2.0,1.0,19.0,0.0,0.170586372829962,0.24049619138461403,7.125876515445637e-09,0.28222632218221644,1.0,0.039874531227603066,0.00599235563077869,1.3845161730767657e-10,0.00301318662484794,6.519300321384376e-11,0.009776014737374864,,,79
194.226.130.229,2.0,0.0,2.0,41.0,3.0,2.0,41.0,0.0,0.2010103996081206,0.041138108952520555,7.953538156529409e-09,0.22441129067999846,1.0842839972843046,0.04698614152630119,0.0010250232130578128,1.545325994216934e-10,0.002395924994923959,7.068773011967503e-11,0.01008141799190066,,,80
139.224.5.185,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,81
169.55.70.227,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,82
52.206.179.97,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,83
52.2.143.27,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,84
52.26.183.201,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,85
80.70.210.158,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,86
34.206.37.216,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,87
54.231.176.243,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,88
218.248.240.47,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,89
34.192.204.170,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,90
174.37.200.231,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,91
195.54.48.228,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,92
193.232.151.148,1.0,0.0,1.0,12.0,2.0,1.0,12.0,0.0,0.170586372829962,0.3059798726837077,6.6313752541854616e-09,0.28241005710488687,1.0,0.039874531227603066,0.007623988564745583,1.288437467202818e-10,0.0030151482689895186,6.519300321384376e-11,0.010102733651074985,,,93
