node,degree,out_degree,in_degree,total_weight,N_i,E_i,W_i,lambda_w,out_in_degree_ratio,out_degree_share,isolation_forest_score_raw,isolation_forest_score
192.168.10.3,47.0,28.0,19.0,72614.0,31.0,93.0,87849.0,1602.3684119828013,1.45,0.5957446808383885,0.7986342598582528,0.9114738947390817
192.168.10.255,11.0,0.0,11.0,4004.0,12.0,48.0,71821.0,1553.1084515125801,0.08333333333333333,0.0,0.7736014077331572,0.8829041321209115
72.21.91.29,18.0,9.0,9.0,4115.0,10.0,18.0,4115.0,342.27620425615333,1.0,0.4999999999722222,0.7307207972460411,0.8339648879462148
224.0.0.251,7.0,0.0,7.0,338.0,8.0,17.0,7060.0,865.5090987390024,0.125,0.0,0.7258965450371203,0.8284590135164738
23.61.187.27,18.0,9.0,9.0,2438.0,10.0,18.0,2438.0,230.9913418290824,1.0,0.4999999999722222,0.7186269025113997,0.8201622377339579
172.217.12.130,20.0,10.0,10.0,1808.0,11.0,20.0,1808.0,155.29327094243325,1.0,0.499999999975,0.7171697424698511,0.8184991944548426
172.217.12.174,19.0,9.0,10.0,1681.0,11.0,19.0,1681.0,107.57787876696584,0.9090909090909091,0.47368421050138504,0.7126218919105075,0.8133087746715092
178.255.83.1,9.0,0.0,9.0,2021.0,10.0,9.0,2021.0,0.0,0.1,0.0,0.7104908230123942,0.8108766054469314
8.6.0.1,1.0,1.0,0.0,6290.0,2.0,1.0,6290.0,0.0,2.0,0.9999999989999999,0.7081164089919129,0.8081667086847323
172.217.6.238,20.0,10.0,10.0,919.0,11.0,20.0,919.0,79.7872170212748,1.0,0.499999999975,0.698782190581727,0.7975136515391655
172.217.10.2,20.0,10.0,10.0,817.0,11.0,20.0,817.0,86.32496741962892,1.0,0.499999999975,0.6983854161276853,0.7970608165242709
172.217.10.238,17.0,8.0,9.0,1195.0,10.0,17.0,1195.0,112.30316113093164,0.9,0.470588235266436,0.6950028505568081,0.793200325721328
172.217.10.142,18.0,9.0,9.0,1027.0,10.0,18.0,1027.0,83.84509526501833,1.0,0.4999999999722222,0.6939132478429516,0.7919567722210145
199.244.48.55,2.0,1.0,1.0,14843.0,2.0,2.0,14843.0,3443.052715251394,1.0,0.49999999975,0.6914910777930904,0.7891923719441478
172.217.10.110,15.0,7.0,8.0,1834.0,9.0,15.0,1834.0,91.23047736365298,0.8888888888888888,0.46666666663555556,0.6907641140242364,0.7883626949179592
172.217.11.46,15.0,7.0,8.0,1794.0,9.0,15.0,1794.0,101.0890696366328,0.8888888888888888,0.46666666663555556,0.6893634513694231,0.7867641315838182
172.217.12.206,17.0,8.0,9.0,784.0,10.0,17.0,784.0,79.15175298121954,0.9,0.470588235266436,0.6873985589385981,0.784521618024501
50.63.243.230,16.0,7.0,9.0,722.0,10.0,16.0,722.0,64.7688196588451,0.8,0.43749999997265626,0.6801242065152646,0.7762194668793982
172.217.11.14,16.0,8.0,8.0,1014.0,9.0,16.0,1014.0,106.40488710580921,1.0,0.49999999996875,0.6794781307891733,0.7754821066283349
172.217.9.238,18.0,9.0,9.0,301.0,10.0,18.0,301.0,24.1039415863879,1.0,0.4999999999722222,0.6763895183249886,0.7719571017874836
192.168.10.1,1.0,0.0,1.0,9337.0,2.0,1.0,9337.0,0.0,0.5,0.0,0.6749669826389236,0.7703335749650642
172.217.10.78,16.0,8.0,8.0,634.0,9.0,16.0,634.0,57.29746940310716,1.0,0.49999999996875,0.668399430476355,0.7628380884208468
8.0.6.4,1.0,0.0,1.0,6290.0,2.0,1.0,6290.0,0.0,0.5,0.0,0.6667521524640535,0.7609580652599859
173.241.242.143,13.0,5.0,8.0,751.0,9.0,13.0,751.0,119.23506195746283,0.6666666666666666,0.3846153845857988,0.6615543770064686,0.7550258922010127
198.100.147.178,3.0,0.0,3.0,15.0,4.0,7.0,2183.0,434.7735042525016,0.25,0.0,0.6614370863987934,0.7548920295152158
23.54.187.27,13.0,6.0,7.0,1332.0,8.0,13.0,1332.0,143.17122615944865,0.875,0.4615384615029586,0.6608735483126847,0.7542488687093291
172.217.3.110,15.0,7.0,8.0,586.0,9.0,15.0,586.0,57.749458871923636,0.8888888888888888,0.46666666663555556,0.6603047850126744,0.7535997444151408
172.217.10.130,14.0,7.0,7.0,1288.0,8.0,14.0,1288.0,132.31024147812596,1.0,0.49999999996428574,0.6593935669792317,0.7525597797008221
172.217.7.14,15.0,7.0,8.0,391.0,9.0,15.0,391.0,35.028559776273994,0.8888888888888888,0.46666666663555556,0.6584264100095985,0.7514559723959713
172.217.6.206,15.0,8.0,7.0,431.0,9.0,15.0,431.0,41.59326868617084,1.125,0.5333333332977778,0.6579551803301693,0.7509181623209288
205.174.165.73,5.0,0.0,5.0,1050.0,6.0,5.0,1050.0,0.0,0.16666666666666666,0.0,0.6565599073881593,0.7493257502161642
192.168.10.51,4.0,3.0,1.0,1980.0,4.0,4.0,1980.0,160.28100324118265,2.0,0.7499999998125,0.6540007394590364,0.7464049955266985
23.52.155.27,12.0,6.0,6.0,1555.0,7.0,12.0,1555.0,203.6516633862832,1.0,0.49999999995833333,0.6538748071121867,0.7462612701039035
172.217.12.142,14.0,7.0,7.0,1067.0,8.0,14.0,1067.0,100.71742649611338,1.0,0.49999999996428574,0.6493680299771848,0.7411177270399103
199.96.57.6,14.0,6.0,8.0,348.0,9.0,14.0,348.0,27.622454633866273,0.7777777777777778,0.4285714285408163,0.6476190554565021,0.7391216385945574
74.119.118.74,14.0,6.0,8.0,324.0,9.0,14.0,324.0,66.63332499583072,0.7777777777777778,0.4285714285408163,0.6462228519514779,0.7375281644468309
157.240.18.19,14.0,7.0,7.0,822.0,8.0,14.0,822.0,98.09179374443103,1.0,0.49999999996428574,0.6426727862181255,0.7334765072575529
69.172.216.111,11.0,5.0,6.0,1362.0,7.0,11.0,1362.0,132.07195008782142,0.8571428571428571,0.45454545450413225,0.6421347392864264,0.7328624392704429
69.4.95.11,2.0,0.0,2.0,2582.0,3.0,2.0,2582.0,0.0,0.3333333333333333,0.0,0.6369609996472104,0.7269576980686828
61.251.165.12,4.0,2.0,2.0,4893.0,3.0,4.0,4893.0,409.1136761341522,1.0,0.499999999875,0.6353385175859646,0.7251059742974406
157.240.18.35,14.0,7.0,7.0,509.0,8.0,14.0,509.0,90.1443287178955,1.0,0.49999999996428574,0.6346616941790362,0.7243335220026027
74.119.118.94,14.0,7.0,7.0,565.0,8.0,14.0,565.0,73.4234295031225,1.0,0.49999999996428574,0.6345969313382767,0.7242596087713924
93.184.216.172,14.0,7.0,7.0,616.0,8.0,14.0,616.0,38.065732621348566,1.0,0.49999999996428574,0.6338327659216005,0.7233874738485976
172.217.12.131,14.0,7.0,7.0,584.0,8.0,14.0,584.0,64.73793323855804,1.0,0.49999999996428574,0.6333937505186787,0.7228864296294045
74.125.22.108,6.0,0.0,6.0,206.0,7.0,6.0,206.0,0.0,0.14285714285714285,0.0,0.6318096648911808,0.7210785273528956
210.158.199.65,1.0,0.0,1.0,2255.0,2.0,1.0,2255.0,0.0,0.5,0.0,0.6310388219226652,0.7201987714019428
157.240.2.25,14.0,7.0,7.0,485.0,8.0,14.0,485.0,62.6099033699941,1.0,0.49999999996428574,0.630079512726992,0.7191039206889337
172.217.3.98,12.0,6.0,6.0,887.0,7.0,12.0,887.0,101.7300348962881,1.0,0.49999999995833333,0.6274767697207754,0.7161334341669777
64.4.54.254,6.0,3.0,3.0,171.0,4.0,10.0,18077.0,314.44758601535347,1.0,0.49999999991666666,0.6255818932197041,0.7139708291407577
172.217.10.232,14.0,7.0,7.0,310.0,8.0,14.0,310.0,32.41913015489466,1.0,0.49999999996428574,0.6254425265728397,0.7138117712756008
65.55.44.109,6.0,3.0,3.0,34.0,4.0,10.0,17940.0,300.760818988482,1.0,0.49999999991666666,0.6234155244311345,0.7114983724776673
13.78.188.147,6.0,3.0,3.0,67.0,4.0,10.0,17973.0,304.05743929813644,1.0,0.49999999991666666,0.623311131442423,0.7113792297251122
172.217.10.46,14.0,7.0,7.0,364.0,8.0,14.0,364.0,42.55584566190642,1.0,0.49999999996428574,0.623181470464182,0.7112312488497939
64.4.54.253,6.0,3.0,3.0,49.0,4.0,10.0,17955.0,301.4640956772013,1.0,0.49999999991666666,0.6231705726991839,0.7112188113313878
62.241.12.20,1.0,0.0,1.0,1946.0,2.0,1.0,1946.0,0.0,0.5,0.0,0.616851306659812,0.7040066914433417
74.119.118.82,12.0,5.0,7.0,194.0,8.0,12.0,194.0,28.861739379323623,0.75,0.41666666663194446,0.615589074473238,0.7025661175223508
199.167.65.25,2.0,1.0,1.0,2313.0,2.0,2.0,2313.0,536.5556821057811,1.0,0.49999999975,0.6135979716811171,0.7002936903200887
74.117.199.102,5.0,0.0,5.0,41.0,6.0,5.0,41.0,0.0,0.16666666666666666,0.0,0.6133430556613882,0.7000027570243209
209.85.232.108,5.0,0.0,5.0,114.0,6.0,5.0,114.0,0.0,0.16666666666666666,0.0,0.6126543285503312,0.6992167191420505
173.241.242.220,10.0,4.0,6.0,815.0,7.0,10.0,815.0,72.38093671679029,0.7142857142857143,0.39999999996,0.6101497653331237,0.6963582843052912
180.97.144.211,1.0,0.0,1.0,1681.0,2.0,1.0,1681.0,0.0,0.5,0.0,0.606714083792233,0.6924371727370063
204.79.197.200,7.0,1.0,6.0,128.0,7.0,7.0,128.0,4.47213595499958,0.2857142857142857,0.1428571428367347,0.6057822678895399,0.6913736998650083
67.215.197.149,2.0,0.0,2.0,8.0,3.0,4.0,847.0,232.01293067413292,0.3333333333333333,0.0,0.6055085078783905,0.6910612600961078
74.119.118.67,11.0,4.0,7.0,167.0,8.0,11.0,167.0,21.354156504062626,0.625,0.36363636360330576,0.605006276606975,0.6904880681908443
98.139.225.35,10.0,3.0,7.0,205.0,8.0,10.0,205.0,14.14213562373095,0.5,0.29999999997,0.6044674233451517,0.6898730799466207
195.142.107.70,2.0,1.0,1.0,1938.0,2.0,2.0,1938.0,472.4880950881197,1.0,0.49999999975,0.6035301574602762,0.6888033870603611
173.194.66.109,6.0,1.0,5.0,301.0,6.0,6.0,301.0,6.0,0.3333333333333333,0.16666666663888888,0.6010939273836562,0.6860229402049866
172.217.11.3,12.0,6.0,6.0,277.0,7.0,12.0,277.0,29.444863728670914,1.0,0.49999999995833333,0.5992674417335597,0.6839383890244826
172.217.12.194,12.0,6.0,6.0,409.0,7.0,12.0,409.0,60.48140210014976,1.0,0.49999999995833333,0.5992131010607589,0.6838763705171756
152.163.56.2,12.0,6.0,6.0,416.0,7.0,12.0,416.0,54.03702434442519,1.0,0.49999999995833333,0.5988110146649329,0.6834174730322492
172.217.12.170,11.0,6.0,5.0,234.0,7.0,11.0,234.0,25.416530054277676,1.1666666666666667,0.5454545454049586,0.5988070321111608,0.6834129277804611
172.217.10.34,12.0,6.0,6.0,431.0,7.0,12.0,431.0,42.05948168962619,1.0,0.49999999995833333,0.5977640359002608,0.6822225658509393
184.30.4.121,12.0,6.0,6.0,363.0,7.0,12.0,363.0,48.713447835274415,1.0,0.49999999995833333,0.5973787451259288,0.6817828370534923
23.194.101.148,1.0,1.0,0.0,5.0,2.0,1.0,5.0,0.0,2.0,0.9999999989999999,0.5965763122849819,0.6808670278732872
52.20.81.238,1.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,0.9999999989999999,0.5965459684686184,0.6808323967563014
172.217.10.14,12.0,6.0,6.0,305.0,7.0,12.0,305.0,41.809089920733754,1.0,0.49999999995833333,0.5964898287608954,0.680768325027076
69.172.216.55,6.0,2.0,4.0,1381.0,5.0,6.0,1381.0,99.09086738948244,0.6,0.33333333327777775,0.5961986610223182,0.6804360179798545
52.84.145.117,1.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.9999999989999999,0.5957114208773893,0.6798799353086072
169.60.66.35,1.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.9999999989999999,0.5957114208773893,0.6798799353086072
104.17.241.25,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,0.5951245939494184,0.679210195162886
54.210.220.92,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,0.5951245939494184,0.679210195162886
151.101.124.166,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,0.5951245939494184,0.679210195162886
104.97.140.32,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,0.5951245939494184,0.679210195162886
104.92.130.184,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,0.5951245939494184,0.679210195162886
216.58.212.142,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,0.5951245939494184,0.679210195162886
52.84.143.12,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,0.5951245939494184,0.679210195162886
52.84.143.114,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9999999989999999,0.5951245939494184,0.679210195162886
172.217.11.2,10.0,5.0,5.0,1054.0,6.0,10.0,1054.0,130.28046668629952,1.0,0.49999999995,0.5936654657671779,0.6775449056630012
14.0.67.51,3.0,1.0,2.0,3085.0,3.0,3.0,3085.0,5.656854249492381,0.6666666666666666,0.3333333332222222,0.5902879650691846,0.6736901953526392
72.30.3.43,6.0,1.0,5.0,171.0,6.0,6.0,171.0,10.862780491200215,0.3333333333333333,0.16666666663888888,0.5879967556456618,0.6710752592274448
104.97.139.37,10.0,5.0,5.0,807.0,6.0,10.0,807.0,147.35331689514152,1.0,0.49999999995,0.5875569997995171,0.6705733699472493
199.166.0.200,9.0,3.0,6.0,269.0,7.0,9.0,269.0,21.354156504062626,0.5714285714285714,0.3333333332962963,0.5868769543935272,0.6697972404146806
98.139.225.43,9.0,3.0,6.0,262.0,7.0,9.0,262.0,17.57839583124695,0.5714285714285714,0.3333333332962963,0.5865254918460495,0.6693961194596877
61.110.225.154,2.0,0.0,2.0,892.0,3.0,2.0,892.0,0.0,0.3333333333333333,0.0,0.5860292654025179,0.6688297808089534
209.85.232.109,4.0,0.0,4.0,114.0,5.0,4.0,114.0,0.0,0.2,0.0,0.5857055618425034,0.6684603409296279
23.15.4.8,10.0,5.0,5.0,815.0,6.0,10.0,815.0,130.37637822857332,1.0,0.49999999995,0.585196214395629,0.6678790273991259
119.205.194.11,4.0,2.0,2.0,2586.0,3.0,4.0,2586.0,197.92928029980806,1.0,0.499999999875,0.5850046661701274,0.667660415180863
173.194.66.108,4.0,0.0,4.0,93.0,5.0,4.0,93.0,0.0,0.2,0.0,0.5842944546783376,0.6668498573735572
210.151.8.24,1.0,0.0,1.0,1118.0,2.0,1.0,1118.0,0.0,0.5,0.0,0.5837162556870494,0.6661899642121779
104.16.25.216,9.0,3.0,6.0,162.0,7.0,9.0,162.0,16.309506430300072,0.5714285714285714,0.3333333332962963,0.5787869214730798,0.6605641606619083
172.217.3.97,10.0,5.0,5.0,704.0,6.0,10.0,704.0,94.33451118228153,1.0,0.49999999995,0.5776177118391115,0.6592297525199026
31.13.80.2,7.0,3.0,4.0,1018.0,5.0,7.0,1018.0,123.93950137062839,0.8,0.4285714285102041,0.5773637051529016,0.6589398570380701
72.21.91.70,7.0,3.0,4.0,1135.0,5.0,7.0,1135.0,112.15614116043757,0.8,0.4285714285102041,0.5773572540504391,0.6589324944544916
74.119.118.100,7.0,2.0,5.0,263.0,6.0,7.0,263.0,69.065186599328,0.5,0.2857142856734694,0.5767760651858057,0.6582691889783149
69.172.216.56,9.0,4.0,5.0,730.0,6.0,9.0,730.0,52.583267300539625,0.8333333333333334,0.4444444443950617,0.5757506892333651,0.6570989368868146
23.60.139.27,9.0,4.0,5.0,611.0,6.0,9.0,611.0,81.1480129146734,0.8333333333333334,0.4444444443950617,0.5755555686278042,0.6568762475442287
216.58.219.194,10.0,5.0,5.0,726.0,6.0,10.0,726.0,71.69379331573968,1.0,0.49999999995,0.5729528800039727,0.653905823088386
72.30.2.182,10.0,4.0,6.0,120.0,7.0,10.0,120.0,12.569805089976535,0.7142857142857143,0.39999999996,0.5725843442583567,0.6534852166502565
72.167.239.239,10.0,4.0,6.0,182.0,7.0,10.0,182.0,20.904544960366877,0.7142857142857143,0.39999999996,0.5720645349742819,0.6528919631217123
95.163.95.109,1.0,0.0,1.0,852.0,2.0,1.0,852.0,0.0,0.5,0.0,0.5711580764059166,0.6518574303408695
23.111.11.111,2.0,1.0,1.0,1263.0,2.0,2.0,1263.0,525.3018180056109,1.0,0.49999999975,0.570897588492984,0.651560137894919
23.237.33.23,2.0,1.0,1.0,1720.0,2.0,2.0,1720.0,262.37187349256783,1.0,0.49999999975,0.57061111167561,0.6512331845526835
205.185.208.154,4.0,2.0,2.0,1925.0,3.0,4.0,1925.0,182.33485678827296,1.0,0.499999999875,0.5693474476710014,0.6497909765110117
62.161.94.230,4.0,1.0,3.0,624.0,4.0,4.0,624.0,48.908077042549934,0.5,0.2499999999375,0.5691098936769063,0.64951985833453
213.180.193.119,3.0,0.0,3.0,237.0,4.0,3.0,237.0,0.0,0.25,0.0,0.5679703795765172,0.6482193414303639
216.58.219.238,10.0,5.0,5.0,742.0,6.0,10.0,742.0,40.19950248448355,1.0,0.49999999995,0.567761946463402,0.6479814586460247
94.124.134.53,1.0,0.0,1.0,780.0,2.0,1.0,780.0,0.0,0.5,0.0,0.5661932970842225,0.6461911736169621
31.13.71.7,9.0,4.0,5.0,507.0,6.0,9.0,507.0,69.79971346646059,0.8333333333333334,0.4444444443950617,0.5645734293886014,0.6443424335970288
104.16.24.216,7.0,2.0,5.0,195.0,6.0,7.0,195.0,24.617067250182345,0.5,0.2857142856734694,0.5629201212528678,0.6424555283120634
68.67.178.138,7.0,2.0,5.0,178.0,6.0,7.0,178.0,26.608269391300134,0.5,0.2857142856734694,0.5625518887600484,0.642035267973546
172.217.6.194,10.0,5.0,5.0,649.0,6.0,10.0,649.0,51.79768334587945,1.0,0.49999999995,0.5622336522157998,0.6416720675487533
31.13.80.36,8.0,3.0,5.0,429.0,6.0,8.0,429.0,73.586683577941,0.6666666666666666,0.374999999953125,0.5622014828325661,0.641635352929182
151.101.128.188,2.0,1.0,1.0,1934.0,2.0,2.0,1934.0,185.70945048650594,1.0,0.49999999975,0.5607707674521636,0.6400024906972636
193.240.182.34,6.0,3.0,3.0,1228.0,4.0,6.0,1228.0,143.19567032560727,1.0,0.49999999991666666,0.5597630847930976,0.6388524317978583
172.217.12.162,9.0,5.0,4.0,79.0,6.0,9.0,79.0,16.000000000000007,1.2,0.5555555554938272,0.5592935168466378,0.6383165182432854
31.13.80.12,9.0,4.0,5.0,447.0,6.0,9.0,447.0,63.28506932918697,0.8333333333333334,0.4444444443950617,0.5591677263434629,0.6381729547053646
178.124.129.12,2.0,1.0,1.0,2039.0,2.0,2.0,2039.0,149.35862880998874,1.0,0.49999999975,0.558442469421784,0.6373452256880714
54.209.123.201,1.0,0.0,1.0,650.0,2.0,1.0,650.0,0.0,0.5,0.0,0.5580898412603312,0.6369427744286288
104.31.91.87,2.0,1.0,1.0,2049.0,2.0,2.0,2049.0,142.7935572776307,1.0,0.49999999975,0.5580647626792333,0.6369141524759568
23.5.251.27,9.0,4.0,5.0,430.0,6.0,9.0,430.0,64.9076266705231,0.8333333333333334,0.4444444443950617,0.5579939825187595,0.6368333717334067
157.240.18.5,8.0,4.0,4.0,835.0,5.0,8.0,835.0,108.79797792238604,1.0,0.4999999999375,0.5579596727770629,0.6367942143425164
152.163.13.4,4.0,3.0,1.0,35.0,4.0,4.0,35.0,6.782329983125268,2.0,0.7499999998125,0.5578436224186639,0.6366617671417482
23.203.70.225,2.0,1.0,1.0,1900.0,2.0,2.0,1900.0,168.15171720800237,1.0,0.49999999975,0.5564628439730755,0.6350858974716997
172.217.10.102,8.0,4.0,4.0,893.0,5.0,8.0,893.0,89.1739872384318,1.0,0.4999999999375,0.5556684564896401,0.6341792703836164
14.0.67.54,2.0,1.0,1.0,2774.0,2.0,2.0,2774.0,74.45804187594514,1.0,0.49999999975,0.5556396903127853,0.6341464398120111
162.213.33.50,2.0,1.0,1.0,1849.0,2.0,2.0,1849.0,160.28100324118265,1.0,0.49999999975,0.5544743697065355,0.6328164701813737
23.202.238.190,2.0,1.0,1.0,1323.0,2.0,2.0,1323.0,300.1199760095952,1.0,0.49999999975,0.5523680908224027,0.6304125935704855
206.126.112.147,1.0,0.0,1.0,579.0,2.0,1.0,579.0,0.0,0.5,0.0,0.5507753062699794,0.6285947632914098
31.13.71.36,10.0,5.0,5.0,444.0,6.0,10.0,444.0,59.10160742314882,1.0,0.49999999995,0.5483892529036574,0.6258715826514473
74.125.22.109,5.0,1.0,4.0,166.0,5.0,5.0,166.0,4.358898943540674,0.4,0.19999999996,0.5480882072766455,0.6255280020615095
151.101.117.209,2.0,1.0,1.0,1784.0,2.0,2.0,1784.0,145.82180906846546,1.0,0.49999999975,0.5477221565508789,0.6251102317535516
207.210.46.249,3.0,0.0,3.0,15.0,4.0,3.0,15.0,0.0,0.25,0.0,0.5473049713213444,0.6246341021093527
144.217.164.10,3.0,0.0,3.0,15.0,4.0,3.0,15.0,0.0,0.25,0.0,0.5473049713213444,0.6246341021093527
173.194.205.108,3.0,0.0,3.0,57.0,4.0,3.0,57.0,0.0,0.25,0.0,0.5467506748708478,0.6240014886967202
173.194.207.109,3.0,0.0,3.0,57.0,4.0,3.0,57.0,0.0,0.25,0.0,0.5467506748708478,0.6240014886967202
74.125.192.108,3.0,0.0,3.0,57.0,4.0,3.0,57.0,0.0,0.25,0.0,0.5467506748708478,0.6240014886967202
14.0.67.53,1.0,0.0,1.0,534.0,2.0,1.0,534.0,0.0,0.5,0.0,0.5467003373806462,0.623944038984691
202.55.225.134,3.0,0.0,3.0,45.0,4.0,3.0,45.0,0.0,0.25,0.0,0.5465037468871411,0.6237196720725884
104.97.125.160,2.0,1.0,1.0,1760.0,2.0,2.0,1760.0,150.70169209401732,1.0,0.49999999975,0.5464460487582582,0.623653821731706
178.239.182.230,2.0,1.0,1.0,2390.0,2.0,2.0,2390.0,69.10861017268398,1.0,0.49999999975,0.5463811982391932,0.6235798084340565
172.217.3.102,10.0,5.0,5.0,437.0,6.0,10.0,437.0,50.42816673249188,1.0,0.49999999995,0.5463055515275861,0.6234934735417054
50.116.194.23,3.0,0.0,3.0,63.0,4.0,3.0,63.0,0.0,0.25,0.0,0.5462738809846037,0.6234573282438994
157.240.2.35,10.0,5.0,5.0,388.0,6.0,10.0,388.0,57.052607302383656,1.0,0.49999999995,0.5460691316283478,0.6232236496971951
64.124.217.61,3.0,0.0,3.0,30.0,4.0,3.0,30.0,0.0,0.25,0.0,0.5458945890188154,0.6230244458311643
91.215.103.64,3.0,0.0,3.0,39.0,4.0,3.0,39.0,0.0,0.25,0.0,0.5458808271619698,0.6230087395512207
151.80.231.118,3.0,0.0,3.0,37.0,4.0,3.0,37.0,0.0,0.25,0.0,0.5456346590192638,0.6227277901265957
38.69.238.10,2.0,1.0,1.0,1658.0,2.0,2.0,1658.0,185.41035569784123,1.0,0.49999999975,0.5455835096023296,0.6226694137700958
194.190.77.85,2.0,1.0,1.0,2281.0,2.0,2.0,2281.0,95.4358423235212,1.0,0.49999999975,0.5454312673100618,0.6224956610499182
14.0.70.98,1.0,0.0,1.0,525.0,2.0,1.0,525.0,0.0,0.5,0.0,0.5449335467305729,0.6219276171556342
119.205.194.14,3.0,1.0,2.0,1399.0,3.0,3.0,1399.0,71.83313998427188,0.6666666666666666,0.3333333332222222,0.5448328994722154,0.6218127493704902
104.16.127.51,2.0,1.0,1.0,1718.0,2.0,2.0,1718.0,143.08039698015935,1.0,0.49999999975,0.5442865056602293,0.6211891551661035
172.217.10.131,10.0,5.0,5.0,334.0,6.0,10.0,334.0,50.41825066382211,1.0,0.49999999995,0.542793121796306,0.6194847699735221
208.111.171.236,2.0,1.0,1.0,2203.0,2.0,2.0,2203.0,93.78699270154685,1.0,0.49999999975,0.5425470613444953,0.61920394345552
104.97.117.153,6.0,3.0,3.0,853.0,4.0,6.0,853.0,129.79984591670362,1.0,0.49999999991666666,0.5424121466023801,0.6190499665080806
172.217.9.227,10.0,5.0,5.0,327.0,6.0,10.0,327.0,49.62862077471022,1.0,0.49999999995,0.5423604899371047,0.61899101123374
172.217.10.132,10.0,5.0,5.0,355.0,6.0,10.0,355.0,34.61213659975356,1.0,0.49999999995,0.5414268645457849,0.6179254732091071
172.217.6.196,10.0,5.0,5.0,323.0,6.0,10.0,323.0,31.35283081318176,1.0,0.49999999995,0.5411372812181751,0.6175949744354695
151.101.65.5,2.0,1.0,1.0,1959.0,2.0,2.0,1959.0,108.2497113160123,1.0,0.49999999975,0.540745045921619,0.6171473199190335
85.114.159.93,5.0,1.0,4.0,55.0,5.0,5.0,55.0,4.358898943540674,0.4,0.19999999996,0.5406712526163872,0.6170631003022375
151.101.0.249,10.0,5.0,5.0,264.0,6.0,10.0,264.0,37.28270376461451,1.0,0.49999999995,0.5401742484829775,0.6164958740812378
172.217.10.4,10.0,5.0,5.0,279.0,6.0,10.0,279.0,32.249030993194204,1.0,0.49999999995,0.5398984757870198,0.6161811372537795
172.217.10.136,10.0,5.0,5.0,285.0,6.0,10.0,285.0,39.23009049186605,1.0,0.49999999995,0.5398975024999724,0.6161800264502737
104.97.73.5,10.0,5.0,5.0,318.0,6.0,10.0,318.0,37.363083384538804,1.0,0.49999999995,0.5396287919550481,0.6158733495904767
172.217.3.99,10.0,5.0,5.0,309.0,6.0,10.0,309.0,43.17406628984582,1.0,0.49999999995,0.5395369268777992,0.6157685048274115
